,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
88,73.43,73.629997,72.489998,72.709999,5005600,71.511482,146.34000,2/20/19,TGT,-0.008049145,-0.008049167,-0.115899885,E
89,72.760002,72.970001,71.68,72.029999,3985000,70.84269,145.00000,2/21/19,TGT,-0.009352232,-0.009352221,0.272959832,D
90,72.209999,72.639999,71.800003,72.25,3144800,71.059059,144.89000,2/22/19,TGT,0.003054218,0.003054297,0.107349024,D
91,72.830002,73.589996,72.610001,73.099998,7782000,71.89505,146.68999,2/25/19,TGT,0.011764735,0.011764678,-0.043956153,E
92,72.919998,73.220001,71.709999,72.290001,5370900,71.098404,145.51000,2/26/19,TGT,-0.011080679,-0.011080671,0.104521125,D
93,72.309998,73.480003,72.300003,73.019997,5164400,71.816368,146.50000,2/27/19,TGT,0.010098173,0.01009816,0.811392989,D
94,73.120003,73.120003,72.269997,72.639999,5375600,71.442635,145.76000,2/28/19,TGT,-0.005204009,-0.005204027,1.14778472,D
95,73.589996,74.459999,71.959999,72.940002,6833800,71.737694,147.40000,3/1/19,TGT,0.004130013,0.004129997,0.862067898,D
96,73.449997,73.970001,72.449997,72.669998,7383800,71.472137,146.64000,3/4/19,TGT,-0.003701778,-0.003701727,0.831677932,D
97,76.489998,76.559998,74.120003,76,17015100,74.747253,152.56000,3/5/19,TGT,0.045823675,0.045823615,0.070837466,D
98,76.82,77.440002,76.129997,76.900002,7874200,75.632416,154.34000,3/6/19,TGT,0.011842081,0.011842132,-0.188813366,E
99,76.330002,76.989998,75.519997,76.169998,5617900,74.914452,153.16000,3/7/19,TGT,-0.009492808,-0.0094929,0.248985719,D
100,75.879997,75.949997,74.790001,75.809998,4581900,74.560379,151.76000,3/8/19,TGT,-0.004726364,-0.00472627,0.178071073,D
101,75.82,76.300003,75.440002,76.269997,3435900,75.012794,152.57000,3/11/19,TGT,0.006067767,0.006067788,0.101904002,D
102,76.440002,76.5,75.769997,76.18,3646200,74.924286,152.68000,3/12/19,TGT,-0.001179905,-0.001179979,0.442327425,D
103,76.260002,77.370003,76.18,77.120003,3796600,75.848785,154.49001,3/13/19,TGT,0.01233911,0.012339236,0.346601484,D
104,76.660004,76.800003,76.050003,76.489998,3779500,75.229172,153.29000,3/14/19,TGT,-0.008169056,-0.008169152,0.271297575,D
105,76.730003,76.879997,76.07,76.660004,5274100,75.396378,153.54000,3/15/19,TGT,0.002222622,0.002222591,0.725583675,D
106,76.919998,78.010002,76.919998,77.879997,3923500,76.59626,155.89000,3/18/19,TGT,0.015914319,0.015914335,0.112334501,D
107,78.330002,78.769997,78.010002,78.459999,4192300,77.166702,157.23000,3/19/19,TGT,0.007447387,0.007447381,0.017841668,E
108,78.43,78.449997,77.400002,77.540001,4325300,76.261871,155.99000,3/20/19,TGT,-0.011725666,-0.011725695,0.53111637,D
109,78.199997,79.93,78.199997,79.489998,5322000,78.179718,159.42000,3/21/19,TGT,0.025148177,0.025148272,0.083378055,D
110,79.150002,79.589996,78.25,78.32,3174500,77.029007,157.91000,3/22/19,TGT,-0.014718792,-0.014718808,0.504261011,D
111,78.309998,79.279999,78.050003,78.529999,2911400,77.23555,157.81000,3/25/19,TGT,0.002681367,0.002681295,0.43406338,D
112,79.160004,80.029999,79.050003,79.629997,3493600,78.317413,159.66000,3/26/19,TGT,0.014007319,0.01400736,0.085001,D
113,79.68,80.639999,79.550003,79.82,3609400,78.504288,160.46000,3/27/19,TGT,0.002386123,0.002386073,-0.090038516,E
114,80.089996,81.559998,79.870003,80.32,5394100,78.99604,161.88000,3/28/19,TGT,0.006264015,0.006264094,-0.252930482,E
115,80.739998,80.769997,79.849998,80.260002,3886600,78.937035,161.03000,3/29/19,TGT,-0.000746936,-0.000746987,0.279733006,D
116,80.610001,80.610001,79.300003,79.970001,4733900,78.65181,160.58000,4/1/19,TGT,-0.003613323,-0.003613269,0.241859325,D
117,79.599998,80.260002,79.360001,79.459999,2909200,78.150215,159.72000,4/2/19,TGT,-0.006377412,-0.006377416,0.612873064,D
118,79.739998,79.860001,79.190002,79.309998,3251700,78.002686,159.17000,4/3/19,TGT,-0.001887762,-0.001887755,0.333978031,D
119,79.18,81.559998,79.160004,81.379997,4396200,80.038567,162.94000,4/4/19,TGT,0.02610014,0.026100102,-0.155301729,E
120,81.059998,81.580002,80.599998,80.940002,4234600,79.605827,162.52000,4/5/19,TGT,-0.005406644,-0.005406673,-0.121069601,E
121,80.910004,82.230003,80.860001,81.93,4609000,80.579498,164.16000,4/8/19,TGT,0.012231152,0.012231257,-0.296647134,E
122,81.18,81.379997,80.370003,80.660004,4863800,79.330437,162.04000,4/9/19,TGT,-0.015500978,-0.015500989,0.326272086,D
123,80.93,81.410004,80.239998,80.75,2265400,79.418961,162.16000,4/10/19,TGT,0.001115889,0.001115745,0.300581696,D
